event_utc,decision_sequence,decision_lag_ms,controller_inferred_epoch,previous_raw_us,event_raw_us,previous_source_sequence,event_source_sequence,serial_order_result
2026-08-14T15:15:02.355530+00:00,933,2425.448,12,2441776494,2441796303,99811,99812,strictly-increasing
2026-08-14T15:43:35.493103+00:00,1789,1140.788,13,4154955376,4154972625,169640,169641,strictly-increasing
2026-08-14T19:26:09.132703+00:00,8471,11548.574,14,327992915,329212941,711149,711150,strictly-increasing
2026-08-14T19:26:10.267689+00:00,8471,10413.588,15,329790876,330347300,711151,711152,strictly-increasing
2026-08-15T08:03:43.544601+00:00,31193,1089.517,16,2835411504,2835423086,2552395,2552396,strictly-increasing
2026-08-15T08:03:43.677164+00:00,31193,956.954,17,2835531021,2835556387,2552402,2552403,strictly-increasing
2026-08-15T08:03:44.370314+00:00,31193,263.803,18,2836204372,2836249521,2552429,2552430,strictly-increasing
2026-08-15T08:03:44.676414+00:00,31194,1956.983,19,2836532164,2836555378,2552443,2552444,strictly-increasing
2026-08-15T08:03:45.177766+00:00,31194,1455.632,20,2837031717,2837055995,2552463,2552464,strictly-increasing
2026-08-15T08:03:45.531566+00:00,31194,1101.831,21,2837383145,2837410394,2552477,2552478,strictly-increasing
2026-08-15T08:03:45.889497+00:00,31194,743.901,22,2837731402,2837768165,2552491,2552492,strictly-increasing
2026-08-15T08:03:46.028260+00:00,31194,605.137,23,2837881001,2837906125,2552497,2552498,strictly-increasing
2026-08-15T08:03:46.379963+00:00,31194,253.435,24,2838244995,2838258711,2552511,2552512,strictly-increasing
2026-08-15T08:03:46.576791+00:00,31195,2055.973,25,2838434544,2838455441,2552519,2552520,strictly-increasing
2026-08-15T08:03:46.728581+00:00,31195,1904.183,26,2838582527,2838606933,2552525,2552526,strictly-increasing
